time,inst,cpy cycles,misses,pages,switches,bus,pref
99,7,2,2272,0,0,0,163
99,7,2,2255,0,0,0,157
99,7,2,2266,0,0,0,154
99,7,2,2251,0,0,0,150
99,7,2,2265,0,0,0,152
99,7,2,2243,0,0,0,144
99,7,2,2259,0,0,0,154
99,7,2,2106,0,0,0,152
99,7,2,2263,0,0,0,151
99,7,2,2257,0,0,0,147
99,7,2,2249,0,0,0,145
99,7,2,2286,0,0,0,163
99,7,2,2255,0,0,0,147
99,7,2,2244,0,0,0,151
99,7,2,2218,0,0,0,145
99,7,8,2250,0,0,0,144
99,7,2,2246,0,0,0,151
99,7,2,2257,0,0,0,152
99,7,2,2109,0,0,0,149
99,7,2,2319,0,0,0,165
99,7,2,2116,0,0,0,148
99,7,2,2262,0,0,0,165
99,7,2,2265,0,0,0,158
99,7,2,2249,0,0,0,143
98,7,2,2205,0,0,0,139
98,7,2,2227,0,0,0,149
98,7,2,2206,0,0,0,155
98,7,2,2271,0,0,0,148
98,7,2,2224,0,0,0,135
98,7,2,2219,0,0,0,141
98,7,2,2183,0,0,0,146
98,7,2,2088,0,0,0,140
98,7,2,2236,0,0,0,149
98,7,2,2247,0,0,0,157
98,7,3,3262,0,0,0,146
98,7,2,2238,0,0,0,143
98,7,2,2115,0,0,0,152
98,7,2,2252,0,0,0,160
98,7,2,2104,0,0,0,148
98,7,2,2184,0,0,0,138
98,7,2,2251,0,0,0,154
98,7,2,2258,0,0,0,157
98,7,2,2200,0,0,0,146
98,7,2,2316,0,0,0,178
98,7,2,2227,0,0,0,145
98,7,2,2206,0,0,0,146
98,7,2,2269,0,0,0,159
98,7,2,2254,0,0,0,159
98,7,2,2127,0,0,0,156
98,7,2,2237,0,0,0,153
98,7,2,2213,0,0,0,138
98,7,2,2199,0,0,0,144
98,7,2,2055,0,0,0,143
98,7,2,2214,0,0,0,139
98,7,2,2244,0,0,0,164
98,7,2,2211,0,0,0,142
98,7,2,2301,0,0,0,165
98,7,2,2207,0,0,0,152
98,7,2,2253,0,0,0,148
98,7,2,2276,0,0,0,144
98,7,2,2241,0,0,0,145
98,7,2,2206,0,0,0,166
98,7,2,2263,0,0,0,147
98,7,2,2248,0,0,0,151
98,7,2,2243,0,0,0,148
98,7,2,2230,0,0,0,153
98,7,2,2263,0,0,0,141
98,7,2,2266,0,0,0,161
98,7,2,2291,0,0,0,143
98,7,2,2345,0,0,0,159
98,7,2,2270,0,0,0,149
98,7,2,2289,0,0,0,157
98,7,2,2256,0,0,0,146
98,7,2,2230,0,0,0,146
98,7,2,2094,0,0,0,140
98,7,2,2271,0,0,0,154
98,7,2,2269,0,0,0,171
98,7,2,2266,0,0,0,147
98,7,2,2097,0,0,0,143
98,7,2,2256,0,0,0,155
